,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_logreg__C,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,97.5349541664,0.200353527069,-1.96764420607,-1.95741463051,1.0000000000000001e-05,{'logreg__C': 1.0000000000000001e-05},8,-1.96368693131,-1.95953953324,-1.96669826054,-1.95795898153,-1.96797639102,-1.95740856158,-1.96901944178,-1.95668675179,-1.97084728596,-1.9554793244,3.86091155898,0.00711192910828,0.00240082377711,0.00134809373941
1,188.748279428,0.207694959641,-1.31877485004,-1.27432441261,0.0001,{'logreg__C': 0.0001},6,-1.30858992199,-1.27799282911,-1.31810448007,-1.2740723779,-1.31472491867,-1.27597053708,-1.32295241341,-1.27309258367,-1.32952314283,-1.27049373527,4.19135603598,0.00848269167991,0.00712095735568,0.00254644922803
2,301.091021824,0.190547227859,-0.783351440851,-0.659690032083,0.001,{'logreg__C': 0.001},4,-0.767711707077,-0.661553936746,-0.789348810901,-0.661011676241,-0.773678593731,-0.664012176079,-0.787884505607,-0.657058218405,-0.798159295988,-0.654814152946,3.39359242893,0.00345767965192,0.0110813574708,0.00330461656454
3,302.318237209,0.197844600677,-0.514919500349,-0.25431778564,0.01,{'logreg__C': 0.01},2,-0.498132591394,-0.257083212511,-0.517270003056,-0.252990874004,-0.503141875079,-0.255182470816,-0.523180123682,-0.253922734914,-0.532906407994,-0.252409635955,1.61419394756,0.00720420932777,0.0127885371826,0.00167051255695
4,308.524830961,0.202367210388,-0.479713316891,-0.0681364007436,0.10000000000000001,{'logreg__C': 0.10000000000000001},1,-0.458959532124,-0.0670327330443,-0.477906173723,-0.0694883217126,-0.466043288559,-0.0669788062936,-0.493196439754,-0.0691263278328,-0.502507265403,-0.0680558148346,4.05613362773,0.00923602014238,0.0162606058358,0.00103655654341
5,337.151157331,0.225158452988,-0.676496910927,-0.0160735687577,1.0,{'logreg__C': 1.0},3,-0.63437434671,-0.0170278486904,-0.676416926818,-0.0165273217154,-0.64995048833,-0.0144001107709,-0.704666743771,-0.0166721692582,-0.717163321124,-0.0157403933535,32.6299072281,0.0406679162174,0.0313878289934,0.0009366250028
6,353.650928879,0.209928798676,-1.09341368632,-0.00398048096372,10.0,{'logreg__C': 10.0},5,-0.997803817255,-0.00449269936599,-1.10821978337,-0.00404947867031,-1.02803766758,-0.00320756099079,-1.23564801798,-0.00400485400507,-1.09751710156,-0.00414781178645,20.3952945443,0.00522562517293,0.082314869399,0.000422641055524
7,343.298726177,0.206527471542,-1.67799428534,-0.00169914807845,100.0,{'logreg__C': 100.0},7,-1.39805798126,-0.00452639397842,-1.73293209094,-0.000756983448398,-1.53578319064,-0.000924269097784,-1.8686313652,-0.00143149607238,-1.85503730066,-0.000856597795274,3.04998119787,0.00730213662802,0.184018478969,0.00143268695672
8,344.726452971,0.216550588608,-2.17627496012,-0.00155565502302,1000.0,{'logreg__C': 1000.0},9,-2.1277848302,-0.00145136657967,-2.061577053,-0.00309017777767,-1.86252988582,-0.00224262092996,-2.55219102098,-0.000715945218988,-2.27770701918,-0.000278164608792,2.43276180957,0.0127924770428,0.230422226975,0.00101731535275
9,339.722231627,0.214068603516,-2.5125147538,-0.00087818010143,10000.0,{'logreg__C': 10000.0},10,-2.3400921805,-0.00099003736747,-2.58153055551,-0.000975290783917,-2.27249980718,-0.000564510865126,-2.8367800962,-0.00112184695057,-2.53198928646,-0.000739214540072,3.71442790771,0.0177578898509,0.19879605252,0.000199507334719
